X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y
0.171428571428571,0.030508474576271,0.045454545454546,0.6,0.78702570379437,0.976995940460081,0.788192296879393,0.018348623853211,0.956066297557183,0.134644614271538,0,0.775162265814179,0.706826592732249,0.5625,2
0.3,0.033898305084746,0.072727272727273,1,0.870257037943696,0.983912193655089,0.777621591228563,0.011467889908257,0.955782161459697,0.129048029222516,0.000494694956889,0.777505418270693,0.673568010304279,0.9375,6
0.314285714285714,0.332203389830508,0.072727272727273,0.6,0.730722154222766,0.951886934295595,0.424290132133821,0.043577981651376,0.957101944544917,0.155043593841155,0.004292749229485,0.77998609513055,0.741602295946236,0.5625,3
0.314285714285714,0.332203389830508,0.072727272727273,0.6,0.730722154222766,0.951886934295595,0.424290132133821,0.043577981651376,0.957101944544917,0.155043593841155,0.004292749229485,0.77998609513055,0.741602295946236,0.5625,3
0.314285714285714,0.155932203389831,0.045454545454546,0.6,0.856793145654835,0.979326417080138,0.753275231937026,0.029816513761468,0.956226255854295,0.137795288268975,0.001814378529815,0.776051984356152,0.734925212108607,0.5625,4
0.314285714285714,0.155932203389831,0.045454545454546,0.6,0.856793145654835,0.979326417080138,0.753275231937026,0.01605504587156,0.956226255854295,0.137795288268975,0.001814378529815,0.776051984356152,0.734925212108607,0.5625,4
0.142857142857143,0.159322033898305,0.044545454545455,1,0.847001223990208,0.826041196812509,0.699690750632555,0.169724770642202,0.961717343912628,0.245952405938994,0.015129419483877,0.802342939061738,0.678420375519707,0.9375,5
0.371428571428571,0.040677966101695,0.090909090909091,0.2,0.86046511627907,0.986167493609984,0.72330615687377,0.009174311926606,0.955798794729605,0.129375652183855,1.62671971328045E-05,0.773329928973345,0.685756687430083,0.1875,6
0.371428571428571,0.084745762711864,0.045454545454546,0.6,0.891064871481028,0.976995940460081,0.829350576328367,0.018348623853211,0.956102058230315,0.134494349947981,0,0.775131214330291,0.753731687389267,0.5625,6
0.228571428571429,0.159322033898305,0.045454545454546,0.6,0.791921664626683,0.974890993835514,0.554231093618218,0.020642201834862,0.956666089791802,0.146458629746819,0,0.778217133245989,0.679514177807402,0.5625,3
